id,Date,Close/Last,stock_id,,,
1,09/29/2022,1323.72,17,,,
2,09/28/2022,1343.18,17,,,
3,09/27/2022,1282.66,17,,,
4,09/26/2022,1386.25,17,,,
5,09/25/2022,1303.2,17,,,
6,09/24/2022,1326.99,17,,,
7,09/23/2022,1320.81,17,,,
8,09/22/2022,1341.12,17,,,
9,09/21/2022,1264.91,17,,,
10,09/20/2022,1338.41,17,,,
11,09/19/2022,1353.77,17,,,
12,09/18/2022,1302.8,17,,,
13,09/17/2022,1447.19,17,,,
14,09/16/2022,1440.98,17,,,
15,09/15/2022,1469.54,17,,,
16,09/14/2022,1605.79,17,,,
17,09/13/2022,1601.16,17,,,
18,09/12/2022,1712.4,17,,,
19,09/11/2022,1723.91,17,,,
20,09/10/2022,1760.91,17,,,
21,09/09/2022,1735.85,17,,,
22,09/08/2022,1668.2,17,,,
23,09/07/2022,1629.33,17,,,
24,09/06/2022,1509.15,17,,,
25,09/05/2022,1637.8,17,,,
26,09/04/2022,1577.51,17,,,
27,09/03/2022,1551.26,17,,,
28,09/02/2022,1561.46,17,,,
29,09/01/2022,1599.66,17,,,
30,08/31/2022,1547.66,17,,,
31,08/30/2022,1605.19,17,,,
32,08/29/2022,1543.5,17,,,
33,08/28/2022,1453.53,17,,,
34,08/27/2022,1492.35,17,,,
35,08/26/2022,1504.47,17,,,
36,08/25/2022,1673.5,17,,,
37,08/24/2022,1669.52,17,,,
38,08/23/2022,1610.66,17,,,
39,08/22/2022,1620.03,17,,,
40,08/21/2022,1617.55,17,,,
41,08/20/2022,1584.03,17,,,
42,08/19/2022,1625.17,17,,,
43,08/18/2022,1820,17,,,
44,08/17/2022,1848.96,17,,,
45,08/16/2022,1896.05,17,,,
46,08/15/2022,1886.17,17,,,
47,08/14/2022,1982.84,17,,,
48,08/13/2022,1987.71,17,,,
49,08/12/2022,1983.96,17,,,
50,08/11/2022,1900.39,17,,,
51,08/10/2022,1882.78,17,,,
52,08/09/2022,1671.64,17,,,
53,08/08/2022,1776.89,17,,,
54,08/07/2022,1712.04,17,,,
55,08/06/2022,1684.57,17,,,
56,08/05/2022,1735.85,17,,,
57,08/04/2022,1659.71,17,,,
58,08/03/2022,1649.3,17,,,
59,08/02/2022,1619.2,17,,,
60,08/01/2022,1580.27,17,,,
61,07/31/2022,1690.19,17,,,
62,07/30/2022,1689.39,17,,,
63,07/29/2022,1707.09,17,,,
64,07/28/2022,1727.26,17,,,
65,07/27/2022,1646.36,17,,,
66,07/26/2022,1424.4,17,,,
67,07/25/2022,1431.55,17,,,
68,07/24/2022,1504.3,17,,,
69,07/23/2022,1552.67,17,,,
70,07/22/2022,1577.32,17,,,
71,07/21/2022,1560.67,17,,,
72,07/20/2022,1492.42,17,,,
73,07/19/2022,1559.82,17,,,
74,07/18/2022,1514.7,17,,,
75,07/17/2022,1404.82,17,,,
76,07/16/2022,1353.19,17,,,
77,07/15/2022,1223.55,17,,,
78,07/14/2022,1195.85,17,,,
79,07/13/2022,1113.32,17,,,
80,07/12/2022,1051.75,17,,,
81,07/11/2022,1084.98,17,,,
82,07/10/2022,1153.22,17,,,
83,07/09/2022,1189.6,17,,,
84,07/08/2022,1216.51,17,,,
85,07/07/2022,1258.38,17,,,
86,07/06/2022,1175.49,17,,,
87,07/05/2022,1129.69,17,,,
88,07/03/2022,1062.17,17,,,
89,07/02/2022,1063.18,17,,,
90,07/01/2022,1038.52,17,,,
91,06/30/2022,1065.1,17,,,
92,06/29/2022,1092.25,17,,,
93,06/28/2022,1142.24,17,,,
94,06/27/2022,1181.39,17,,,
95,06/26/2022,1217.58,17,,,
96,06/25/2022,1233.08,17,,,
97,06/24/2022,1225.49,17,,,
98,06/23/2022,1150.01,17,,,
99,06/22/2022,1079.04,17,,,
100,06/21/2022,1088.17,17,,,
101,06/20/2022,1130.16,17,,,
102,06/19/2022,1083.15,17,,,
103,06/18/2022,964.16,17,,,
104,06/17/2022,1079.28,17,,,
105,06/16/2022,1074.06,17,,,
106,06/15/2022,1210.91,17,,,
107,06/14/2022,1183.35,17,,,
108,06/13/2022,1165.07,17,,,
109,06/12/2022,1357.81,17,,,
110,06/11/2022,1472.91,17,,,
111,06/10/2022,1670.18,17,,,
112,06/09/2022,1796.4,17,,,
113,06/08/2022,1799.12,17,,,
114,06/07/2022,1786.36,17,,,
115,06/06/2022,1754.73,17,,,
116,06/05/2022,1876.28,17,,,
117,06/04/2022,1791.8,17,,,
118,06/03/2022,1755.14,17,,,
119,06/02/2022,1828.92,17,,,
120,06/01/2022,1811.09,17,,,
121,05/31/2022,1928.79,17,,,
122,05/30/2022,1894.38,17,,,
123,05/29/2022,1877.77,17,,,
124,05/28/2022,1774.55,17,,,
125,05/27/2022,1758.05,17,,,
126,05/26/2022,1769.78,17,,,
127,05/25/2022,1943.28,17,,,
128,05/24/2022,2015.14,17,,,
129,05/23/2022,1987.38,17,,,
130,05/22/2022,2029.26,17,,,
131,05/21/2022,1973.09,17,,,
132,05/20/2022,1959.03,17,,,
133,05/19/2022,2023.89,17,,,
134,05/18/2022,1956.19,17,,,
135,05/17/2022,2040.11,17,,,
136,05/16/2022,2073.47,17,,,
137,05/15/2022,2072.98,17,,,
138,05/14/2022,2014.44,17,,,
139,05/13/2022,2049.91,17,,,
140,05/12/2022,2103.28,17,,,
141,05/11/2022,2016.31,17,,,
142,05/10/2022,2365.41,17,,,
143,05/09/2022,2308.76,17,,,
144,05/08/2022,2462.2,17,,,
145,05/07/2022,2539.65,17,,,
146,05/06/2022,2676.07,17,,,
147,05/05/2022,2743.74,17,,,
148,05/04/2022,2941.1,17,,,
149,05/03/2022,2798.03,17,,,
150,05/02/2022,2847.02,17,,,
151,05/01/2022,2844.57,17,,,
152,04/30/2022,2771.99,17,,,
153,04/29/2022,2819.01,17,,,
154,04/28/2022,2924.36,17,,,
155,04/27/2022,2884.69,17,,,
156,04/26/2022,2837.63,17,,,
157,04/25/2022,2999.91,17,,,
158,04/24/2022,2875.42,17,,,
159,04/23/2022,2956.36,17,,,
160,04/22/2022,2945.05,17,,,
161,04/21/2022,3000.35,17,,,
162,04/20/2022,3093.23,17,,,
163,04/19/2022,3086.9,17,,,
164,04/18/2022,3038.72,17,,,
165,04/17/2022,3044.94,17,,,
166,04/16/2022,3033.53,17,,,
167,04/15/2022,3039.72,17,,,
168,04/14/2022,3036.55,17,,,
169,04/13/2022,3115.75,17,,,
170,04/12/2022,3051.68,17,,,
171,04/11/2022,2979.27,17,,,
172,04/10/2022,3172.21,17,,,
173,04/09/2022,3257.31,17,,,
174,04/08/2022,3214.06,17,,,
175,04/07/2022,3260.83,17,,,
176,04/06/2022,3186.43,17,,,
177,04/05/2022,3342.88,17,,,
178,04/04/2022,3521.97,17,,,
179,04/03/2022,3497.41,17,,,
180,04/02/2022,3475.01,17,,,
181,04/01/2022,3469.32,17,,,
182,03/31/2022,3243.43,17,,,
183,03/30/2022,3399,17,,,
184,03/29/2022,3384.11,17,,,
185,03/28/2022,3368.15,17,,,
186,03/27/2022,3308.9,17,,,
187,03/26/2022,3139.4,17,,,
188,03/25/2022,3109.07,17,,,
189,03/24/2022,3129.62,17,,,
190,03/23/2022,3024.87,17,,,
191,03/22/2022,2957.69,17,,,
192,03/21/2022,3012.49,17,,,
193,03/20/2022,2846.42,17,,,
194,03/19/2022,2935.87,17,,,
195,03/18/2022,2934.49,17,,,
196,03/17/2022,2777.09,17,,,
197,03/16/2022,2765.71,17,,,
198,03/15/2022,2620.33,17,,,
199,03/14/2022,2540.4,17,,,
200,03/13/2022,2530.15,17,,,
